table,var,alt_table,alt_var
census_dwelling_2018,cen_dwl_sector_of_llord_imp_flag,,cen_dwl_sector_of_llord_impt_ind
census_dwelling_2018,cen_dwl_sector_of_llord_impt_ind,,cen_dwl_sector_of_llord_imp_flag
census_dwelling_2018,cen_dwl_wkly_rent_amnt_imp_flag,,cen_dwl_wkly_rent_amt_impt_ind
census_dwelling_2018,cen_dwl_wkly_rent_amt_impt_ind,,cen_dwl_wkly_rent_amnt_imp_flag
census_dwelling_2018,cen_ind_eth_output_level4,,cen_ind_ethnic_concat
census_dwelling_2018,cen_ind_ethnic_concat,,cen_ind_eth_output_level4
census_dwelling_2018,cen_ind_language_concat,,cen_ind_language_output_level3
census_dwelling_2018,cen_ind_language_output_level3,,cen_ind_language_concat
census_dwelling_2018,cen_ind_prtnsp_stat_rel_imp_ind,,cen_ind_ptnrship_stus_rel_imp_fl
census_dwelling_2018,cen_ind_ptnrship_stus_rel_imp_fl,,cen_ind_prtnsp_stat_rel_imp_ind
census_dwelling_2018,cen_ind_religion_concat,,cen_ind_religion_output_level3
census_dwelling_2018,cen_ind_religion_output_level3,,cen_ind_religion_concat
personal_detail,snz_sex_code,,snz_sex_gender_code
personal_detail,snz_sex_gender_code,,snz_sex_code
personal_detail,snz_sex_gender_source_code,,snz_sex_source_code
personal_detail,snz_sex_source_code,,snz_sex_gender_source_code
new_applications_household,hnz_nah_gender_snz_code,,hnz_nah_sex_snz_code
new_applications_household,hnz_nah_sex_snz_code,,hnz_nah_gender_snz_code
register_household_snapshot,hnz_rhs_gender_snz_code,,hnz_rhs_sex_snz_code
register_household_snapshot,hnz_rhs_sex_snz_code,,hnz_rhs_gender_snz_code
register_status_change_househld,msd_gender_snz_code,,msd_sex_snz_code
register_status_change_househld,msd_sex_snz_code,,msd_gender_snz_code
tenancy_household_snapshot,hnz_ths_gender_snz_code,,hnz_ths_sex_snz_code
tenancy_household_snapshot,hnz_ths_sex_snz_code,,hnz_ths_gender_snz_code
transfer_applications_household,hnz_tah_gender_snz_code,,hnz_tah_sex_snz_code
transfer_applications_household,hnz_tah_sex_snz_code,,hnz_tah_gender_snz_code
msd_child_full,msd_snz_gender_code,,msd_snz_sex_code
msd_child_full,msd_snz_sex_code,,msd_snz_gender_code
msd_customer,msd_snz_gender_code,,msd_snz_sex_code
msd_customer,msd_snz_sex_code,,msd_snz_gender_code
msd_customer_alias,msd_snz_gender_code,,msd_snz_sex_code
msd_customer_alias,msd_snz_sex_code,,msd_snz_gender_code
msd_swn,msd_swn_gender_snz_code,,msd_swn_sex_snz_code
msd_swn,msd_swn_sex_snz_code,,msd_swn_gender_snz_code
ird_income_adjustment,ir_adj_deleted_ind,ird_income_adjustment_historic,
ird_income_adjustment_historic,ir_adj_deleted_ind,ird_income_adjustment,
ird_income_adjustment,ir_adj_income_status_ind,ird_income_adjustment_historic,
ird_income_adjustment_historic,ir_adj_income_status_ind,ird_income_adjustment,
ird_income_adjustment,ir_adj_income_type_ind,ird_income_adjustment_historic,
ird_income_adjustment_historic,ir_adj_income_type_ind,ird_income_adjustment,
ird_income_adjustment,ir_adj_non_resident_fs_inc_amt,ird_income_adjustment_historic,
ird_income_adjustment_historic,ir_adj_non_resident_fs_inc_amt,ird_income_adjustment,
ird_income_adjustment,ir_adj_trust_dist_non_benfcy_amt,ird_income_adjustment_historic,
ird_income_adjustment_historic,ir_adj_trust_dist_non_benfcy_amt,ird_income_adjustment,
ird_ir3,ir_ir3_estate_trust_income_amt,ird_ir3_historic,
ird_ir3_historic,ir_ir3_estate_trust_income_amt,ird_ir3,
ird_ir3,ir_ir3_family_assist_entmnt_amt,ird_ir3_historic,
ird_ir3_historic,ir_ir3_family_assist_entmnt_amt,ird_ir3,
ird_ir3,ir_ir3_gross_dividend_amt,ird_ir3_historic,
ird_ir3_historic,ir_ir3_gross_dividend_amt,ird_ir3,
ird_ir3,ir_ir3_gross_int_amt,ird_ir3_historic,
ird_ir3_historic,ir_ir3_gross_int_amt,ird_ir3,
ird_ir3,ir_ir3_gross_nz_super_amt,ird_ir3_historic,
ird_ir3_historic,ir_ir3_gross_nz_super_amt,ird_ir3,
ird_ir3,ir_ir3_gross_salary_wages_amt,ird_ir3_historic,
ird_ir3_historic,ir_ir3_gross_salary_wages_amt,ird_ir3,
ird_ir3,ir_ir3_other_income_amt,ird_ir3_historic,
ird_ir3_historic,ir_ir3_other_income_amt,ird_ir3,
ird_ir3,ir_ir3_overseas_income_amt,ird_ir3_historic,
ird_ir3_historic,ir_ir3_overseas_income_amt,ird_ir3,
ird_ir3,ir_ir3_pship_income_amt,ird_ir3_historic,
ird_ir3_historic,ir_ir3_pship_income_amt,ird_ir3,
ird_ir3,ir_ir3_rent_income_amt,ird_ir3_historic,
ird_ir3_historic,ir_ir3_rent_income_amt,ird_ir3,
ird_ir3,ir_ir3_return_version_nbr,ird_ir3_historic,
ird_ir3_historic,ir_ir3_return_version_nbr,ird_ir3,
ird_ir3,ir_ir3_return_year_nbr,ird_ir3_historic,
ird_ir3_historic,ir_ir3_return_year_nbr,ird_ir3,
ird_ir3,ir_ir3_selfemp_income_amt,ird_ir3_historic,
ird_ir3_historic,ir_ir3_selfemp_income_amt,ird_ir3,
ird_ir3,ir_ir3_sholder_income_amt,ird_ir3_historic,
ird_ir3_historic,ir_ir3_sholder_income_amt,ird_ir3,
ird_ir3,ir_ir3_sic_code,ird_ir3_historic,
ird_ir3_historic,ir_ir3_sic_code,ird_ir3,
ird_ir3,ir_ir3_snz_unique_nbr,ird_ir3_historic,
ird_ir3_historic,ir_ir3_snz_unique_nbr,ird_ir3,
ird_ir3,ir_ir3_student_loan_liable_income_amt,ird_ir3_historic,
